,ID,Chemical_Name,MinLimit,MaxLimit,Units
228,6800,AMMONIA,,,
229,6800,INORGN,,,
230,6800,NITRATE,,,
231,6800,PO4,,,
232,6805,N,MON,MON,MG/L
233,6805,P,MON,MON,MG/L
234,6805,TKN,,,
235,6805,ORGN,,,
236,6805,AMMONIA,,,
237,6805,INORGN,,,
238,6805,NITRATE,,,
239,6805,PO4,,,
240,6808,N,,,
241,6808,P,MON,MON,MG/L
242,6808,TKN,,,
243,6808,ORGN,,,
244,6808,AMMONIA,MON,MON,MG/L
245,6808,INORGN,MON,MON,MG/L
246,6808,NITRATE,,,
247,6808,PO4,,,
248,6845,N,,,
249,6845,P,MON,MON,MG/L
250,6845,TKN,MON,MON,MG/L
251,6845,ORGN,MON,20,MG/L
252,6845,AMMONIA,MON,20,MG/L
253,6845,INORGN,,,
254,6845,NITRATE,,,
255,6845,PO4,MON,MON,MG/L
256,6881,N,MON,MON,MG/L
257,6881,P,MON,MON,MG/L
258,6881,TKN,,,
259,6881,ORGN,,,
260,6881,AMMONIA,,,
261,6881,INORGN,,,
262,6881,NITRATE,,,
263,6881,PO4,,,
264,6895,N,,,
265,6895,P,MON,MON,MG/L
266,6895,TKN,,,
267,6895,ORGN,,,
268,6895,AMMONIA,MON,MON,MG/L
269,6895,INORGN,,,
270,6895,NITRATE,,,
271,6895,PO4,,,
272,6902,N,,,
273,6902,P,MON,MON,MG/L
274,6902,TKN,,,
275,6902,ORGN,,,
276,6902,AMMONIA,MON,15,MG/L
277,6902,INORGN,,,
278,6902,NITRATE,,,
279,6902,PO4,,,
280,6904,N,,,
281,6904,P,MON,MON,KG/DAY
282,6904,TKN,90.70294785,163.2653061,KG/DAY
283,6904,ORGN,,,
284,6904,AMMONIA,45.35147392,90.70294785,KG/DAY
285,6904,INORGN,MON,MON,KG/DAY
286,6904,NITRATE,,,
287,6904,PO4,,,
288,6912,N,,,
289,6912,P,MON,MON,MG/L
290,6912,TKN,MON,MON,MG/L
291,6912,ORGN,,,
292,6912,AMMONIA,34.01360544,105.2154195,MG/L
293,6912,INORGN,MON,MON,MG/L
294,6912,NITRATE,,,
295,6912,PO4,,,
296,6918,N,,,
297,6918,P,MON,MON,MG/L
298,6918,TKN,37.82312925,37.82312925,MG/L
299,6918,ORGN,,,
300,6918,AMMONIA,4.716553288,4.716553288,MG/L
301,6918,INORGN,MON,MON,MG/L
302,6918,NITRATE,,,
303,6918,PO4,,,
304,6919,N,,,
305,6919,P,MON,MON,KG/DAY
306,6919,TKN,MON,MON,KG/DAY
307,6919,ORGN,,,
308,6919,AMMONIA,9,9,MG/L
309,6919,INORGN,MON,MON,KG/DAY
310,6919,NITRATE,,,
311,6919,PO4,,,
312,6920,N,,,
313,6920,P,MON,MON,KG/DAY
314,6920,TKN,MON,MON,KG/DAY
315,6920,ORGN,,,
316,6920,AMMONIA,3.990929705,3.990929705,KG/DAY
317,6920,INORGN,MON,MON,KG/DAY
318,6920,NITRATE,,,
319,6920,PO4,,,
320,6927,N,,,
321,6927,P,MON,MON,KG/DAY
322,6927,TKN,MON,MON,KG/DAY
323,6927,ORGN,,,
324,6927,AMMONIA,45.35147392,45.35147392,KG/DAY
325,6927,INORGN,MON,MON,KG/DAY
326,6927,NITRATE,,,
327,6927,PO4,,,
328,6928,N,,,
329,6928,P,MON,MON,KG/DAY
330,6928,TKN,MON,MON,KG/DAY
331,6928,ORGN,,,
332,6928,AMMONIA,75.28344671,75.28344671,KG/DAY
333,6928,INORGN,MON,MON,KG/DAY
334,6928,NITRATE,,,
335,6928,PO4,,,
336,6931,N,,,
337,6931,P,MON,MON,KG/DAY
338,6931,TKN,MON,MON,KG/DAY
339,6931,ORGN,,,
340,6931,AMMONIA,1.451247166,2.843537415,KG/DAY
341,6931,INORGN,MON,MON,KG/DAY
342,6931,NITRATE,,,
343,6931,PO4,,,
344,6951,N,,,
345,6951,P,MON,MON,MG/L
346,6951,TKN,MON,453.5147392,MG/L
347,6951,ORGN,,,
348,6951,AMMONIA,113.3786848,226.7573696,MG/L
349,6951,INORGN,MON,MON,MG/L
350,6951,NITRATE,,,
351,6951,PO4,,,
352,6970,N,,,
